HOME;AWAY;FTHG;FTAGWest Adelaide;Blue Eagles;1;1
Fiji U19;Tahiti U19;-;-
Solomon Islands U19;Vanuatu U19;-;-
Din. Minsk;Dynamo Brest;1;0
Bahia;Juventude;0;0
Gremio;Palmeiras;1;0
Corinthians;Vitoria;-;-
Fluminense;Internacional;-;-
Imperial Unido;HuachipatoAdvancing to next round;-;-
El Daklyeh;Al Ahly;1;4
El Gaish;Al Ittihad;0;0
Levadia;Flora;1;0
Paide;Narva;2;2
Tammeka;Nomme Utd;2;1
St. George;Fasil Kenema;4;0
Sidama Bunna;Bahir Dar Kenema;2;1
Gothenburg (Am) (Swe);FS Bridge (Geo);1;5
Klaksvik;B36 Torshavn;4;2
Vikingur;HB Torshavn;2;0
Fjolnir;Keflavik;0;0
Thor Akureyri;Grotta;3;1
IR Reykjavik;Afturelding;3;0
Njardvik;Grindavik;0;1
Aryan;Patha Chakra;1;0
BSS Sporting;Diamond Harbour;1;1
Wari;Army Red;3;3
Al Naft;Al Zawraa;1;3
Al Shorta;Duhok;1;0
Al-Qassim;Al Quwa Al Jawiya;1;1
Al Wasat;Baghdad;0;2
Zakho;Al-Hudod;1;1
Drogheda;Shelbourne2;1;1
Galway;Bohemians;1;1
Sligo Rovers;Derry City;2;1
Waterford;St. Patricks;1;0
Shamrock Rovers;Dundalk;1;0
FK Panevezys;Hegelmann;0;1
Necaxa W;Pachuca W;-;-
Khovd;Alliance;3;1
FCSBWinner;Hunedoara;3;0
Horseed;Sahafi;2;1
Jeenyo;Heegan;0;0
Incheon Hyundai Steel W;Hwacheon W;2;0
Bralanda IF;KarlstadAdvancing to next round;2;4
Colorado Springs;FC Tulsa;-;-
France U23;Paraguay U23;4;1
Krylya Sovetov (Rus);Rubin Kazan (Rus);2;2
Maribor (Slo);FC Rapid Bucuresti (Rou);0;4
Neftekhimik (Rus);FC Minsk (Blr);4;2
Piast Gliwice (Pol);Karvina (Cze);2;1
Midtjylland (Den);Aarhus (Den);4;0
FSC Mariupol (Ukr);Zhytomyr 2 (Ukr);2;0
U. Cluj (Rou);DVTK (Hun);0;2
KF Gostivar (Mkd);Tikves (Mkd);-;-
Pari NN (Rus);Arsenal Tivat (Mne);1;0
Bohemians (Cze);Paks (Hun);4;1
Traiskirchen (Aut);Stripfing (Aut);0;4
Sonthofen (Ger);Schalke II (Ger);0;4
APOEL (Cyp);Novi Pazar (Srb);2;2
Maribor (Slo);CSKA 1948 Sofia (Bul);2;1
Strasbourg (Fra);Munich 1860 (Ger);1;2
Zrinjski (Bih);Lok. Zagreb (Cro);1;3
Ansbach (Ger);Nurnberg (Ger);1;4
CSKA Moscow (Rus);OFK Beograd (Srb);4;0
Schweinfurt (Ger);Abtswind (Ger);4;0
Burgsolms (Ger);Stadtallendorf (Ger);0;1
Pforzheim (Ger);Freiberg (Ger);2;1
Weindorf St. Anna (Aut);UFC Fehring (Aut);3;4
Bovinghausen (Ger);Turkspor Dortmund (Ger);1;8
Cape Town City (Rsa);Wehen (Ger);-;-
Luckenwalde (Ger);Empor Berlin (Ger);4;1
VfB Marburg (Ger);Waldgirmes (Ger);2;2
Suderelbe (Ger);Norderstedt (Ger);2;5
Cardiff Metropolitan (Wal);Cambrian United (Wal);3;0
Cove Rangers (Sco);Banks O' Dee (Sco);-;-
Hamworthy Recreation (Eng);Weymouth (Eng);0;4
Street (Eng);Taunton (Eng);1;0
Once Caldas (Col);America De Cali (Col);-;-
England U17 W;Netherlands U17 W;1;2
Finland U17 W;Norway U17 W;3;2
Czech Republic U17 W;Sweden U17 W;1;3
Iceland U17 W;Denmark U17 W;0;1
